Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,东莞西,----,21:10,00:00,-
2,道滘,21:13,21:15,00:03,-
3,西平西,21:21,21:23,00:09,-
4,东城南,21:26,21:27,00:12,-
5,寮步,21:33,21:34,00:18,-
6,松山湖北,21:39,21:40,00:23,-
7,大朗镇,21:44,21:46,00:27,-
8,常平南,21:50,21:52,00:31,-
9,常平东,21:56,21:57,00:35,-
10,樟木头东,22:02,22:04,00:40,-
11,银瓶,22:07,22:08,00:43,-
12,沥林北,22:14,22:15,00:49,-
13,仲恺,22:22,22:23,00:56,-
14,惠环,22:27,22:29,01:00,-
15,龙丰,22:33,22:34,01:04,-
16,西湖东,22:37,22:39,01:07,-
17,云山,22:43,22:44,01:11,-
18,小金口,22:51,22:51,01:18,-
