Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,东莞西,----,07:55,00:00,-
2,道滘,07:58,08:00,00:03,-
3,西平西,08:06,08:07,00:09,-
4,东城南,08:10,08:12,00:12,-
5,寮步,08:17,08:19,00:17,-
6,松山湖北,08:23,08:25,00:21,-
7,大朗镇,08:29,08:30,00:25,-
8,常平南,08:35,08:36,00:30,-
9,常平东,08:40,08:42,00:34,-
10,樟木头东,08:47,08:48,00:39,-
11,银瓶,08:51,08:53,00:42,-
12,沥林北,08:58,09:00,00:47,-
13,仲恺,09:06,09:08,00:53,-
14,惠环,09:12,09:13,00:57,-
15,龙丰,09:17,09:19,01:01,-
16,西湖东,09:22,09:23,01:04,-
17,云山,09:27,09:28,01:08,-
18,小金口,09:35,09:35,01:15,-
