Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,小金口,----,16:05,00:00,-
2,云山,16:10,16:12,00:05,5
3,西湖东,16:15,16:17,00:08,10
4,龙丰,16:20,16:21,00:11,15
5,惠环,16:25,16:27,00:15,20
6,仲恺,16:31,16:32,00:19,25
7,沥林北,16:39,16:41,00:26,30
8,银瓶,16:46,16:47,00:31,35
9,樟木头东,16:51,16:52,00:35,40
10,常平东,16:57,16:59,00:40,45
11,常平南,17:03,17:04,00:44,57
12,大朗镇,17:08,17:10,00:48,63
13,松山湖北,17:14,17:15,00:52,69
14,寮步,17:20,17:21,00:57,75
15,东城南,17:27,17:28,01:03,84
16,西平西,17:31,17:33,01:06,87
17,道滘,17:39,17:41,01:12,97
18,东莞西,17:45,17:45,01:16,-
