Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,南宁,----,14:56,00:00,-
2,南宁东,15:09,15:15,00:13,11
3,柳州,17:29,17:52,02:27,789
4,桂林北,19:34,19:41,04:09,315
5,兴安北,20:14,20:17,04:42,1010
6,全州南,20:46,20:50,05:11,1062
7,东安东,21:24,21:28,05:45,1123
8,永州,21:46,21:52,06:03,514
9,祁东,22:25,22:29,06:36,576
10,衡阳,23:19,23:25,07:26,965
11,鹰潭,06:20,06:40,14:21,1246
12,上饶,07:48,07:54,15:29,1362
13,衢州,09:37,09:40,17:12,1473
14,金华,10:32,10:38,18:04,-
15,义乌,11:12,11:15,18:38,1607
16,杭州东,12:43,12:49,20:06,2380
17,海宁,13:39,13:42,20:56,2439
18,嘉兴,13:58,14:05,21:12,2467
19,上海南,15:04,15:04,22:11,2547
