Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,海口东,----,15:21,00:00,-
2,美兰,15:30,15:33,00:09,1554
3,文昌,15:50,15:51,00:26,1503
4,琼海,16:07,16:08,00:42,1453
5,万宁,16:26,16:27,01:00,1399
6,陵水,16:43,16:45,01:16,1350
7,三亚,17:08,17:13,01:39,399
8,凤凰机场,17:22,17:23,01:48,394
9,崖州,17:36,17:37,02:01,384
10,乐东,17:49,17:51,02:13,384
11,黄流,18:00,18:01,02:22,379
12,尖峰,18:09,18:10,02:30,633
13,东方,18:31,18:33,02:51,369
14,棋子湾,18:46,18:48,03:04,648
15,白马井,19:10,19:11,03:26,359
16,银滩,19:24,19:25,03:39,354
17,临高南,19:38,19:40,03:52,349
18,福山镇,19:50,19:52,04:02,633
19,海 口东,20:23,20:23,04:33,1560
