Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,三亚,----,10:20,00:00,-
2,亚龙湾,10:28,10:29,00:08,12
3,陵水,10:46,10:47,00:25,906
4,万宁,11:04,11:05,00:42,857
5,琼海,11:22,11:23,00:59,803
6,文昌,11:40,11:41,01:16,753
7,美兰,11:58,12:01,01:33,702
8,海口东,12:11,12:16,01:43,688
9,老城镇,12:42,12:44,02:09,1465
10,福山镇,12:55,12:56,02:20,369
11,白马井,13:23,13:25,02:47,1817
12,棋子湾,13:47,13:48,03:09,1822
13,东方,14:02,14:04,03:23,344
14,尖峰,14:24,14:26,03:43,1837
15,乐东,14:39,14:41,03:56,329
16,崖州,14:53,14:55,04:08,324
17,三 亚,15:14,15:14,04:27,1174
