Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,小金口,----,08:55,00:00,-
2,云山,09:00,09:02,00:05,5
3,西湖东,09:05,09:07,00:08,10
4,龙丰,09:10,09:11,00:11,15
5,惠环,09:15,09:17,00:15,20
6,仲恺,09:21,09:22,00:19,25
7,沥林北,09:29,09:31,00:26,30
8,银瓶,09:36,09:37,00:31,35
9,樟木头东,09:41,09:42,00:35,40
10,常平东,09:47,09:49,00:40,45
11,常平南,09:53,09:54,00:44,57
12,大朗镇,09:58,10:00,00:48,63
13,松山湖北,10:04,10:05,00:52,69
14,寮步,10:10,10:11,00:57,75
15,东城南,10:17,10:18,01:03,84
16,西平西,10:21,10:23,01:06,87
17,道滘,10:29,10:32,01:12,97
18,东莞西,10:36,10:36,01:16,-
