Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,深圳,07:40,07:40,00:00,-
2,东莞东,08:20,08:30,00:40,61
3,惠州,09:10,09:16,01:20,115
4,河源,10:04,10:08,02:08,195
5,龙川,11:00,11:03,03:00,270
6,赣州,13:38,13:44,05:35,511
7,吉安,15:35,15:39,07:26,697
8,南昌西,17:53,18:04,09:40,923
9,九江,19:19,19:23,10:55,1065
10,麻城,21:34,21:37,13:06,1288
11,潢川,22:43,22:46,14:12,1351
12,阜阳,23:53,00:09,15:19,1467
13,商丘南,01:41,01:43,16:51,1642
14,菏泽,02:42,02:49,17:50,1740
15,济宁,03:55,03:58,18:56,1904
16,兖州,04:27,04:51,19:25,1936
17,泰山,05:43,05:45,20:17,2019
18,济南,06:40,06:46,21:12,2092
19,淄博,08:05,08:08,22:31,2202
20,青州市,08:31,08:35,22:54,2245
21,潍坊,09:03,09:07,23:22,2302
22,高密,09:45,09:48,24:00,2387
23,胶州北,10:04,10:14,24:16,-
24,青岛北,10:43,11:01,24:45,2470
25,青岛,11:23,11:23,25:07,2485
