Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,海口东,----,09:19,00:00,-
2,白马井,10:12,10:14,00:53,359
3,棋子湾,10:36,10:38,01:15,648
4,东方,10:51,10:53,01:28,369
5,金月湾,11:08,11:09,01:43,374
6,黄流,11:23,11:24,01:57,379
7,乐东,11:33,11:34,02:06,384
8,崖州,11:46,11:47,02:18,384
9,凤凰机场,12:00,12:02,02:31,394
10,三亚,12:11,12:16,02:40,399
11,陵水,12:38,12:39,03:02,1350
12,万宁,12:56,12:57,03:19,1399
13,博鳌,13:12,13:13,03:34,128
14,琼海,13:20,13:21,03:41,1453
15,文昌,13:38,13:40,03:58,1503
16,美兰,13:56,13:59,04:14,1554
17,海 口东,14:10,14:10,04:25,1560
