Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,三亚,----,16:30,00:00,-
2,崖州,16:48,16:49,00:18,324
3,乐东,17:01,17:02,00:30,329
4,黄流,17:11,17:12,00:39,334
5,金月湾,17:26,17:27,00:53,1495
6,东方,17:41,17:43,01:07,344
7,棋子湾,17:57,17:58,01:21,1822
8,白马井,18:20,18:21,01:43,1817
9,临高南,18:43,18:44,02:05,364
10,老城镇,19:00,19:02,02:21,1465
11,海口东,19:26,19:29,02:45,688
12,美兰,19:38,19:41,02:54,702
13,文昌,19:58,19:59,03:11,753
14,琼海,20:16,20:17,03:28,803
15,万宁,20:34,20:35,03:45,857
16,陵水,20:52,20:53,04:02,906
17,三 亚,21:16,21:16,04:25,1174
