Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州,----,09:10,00:00,-
2,韶关东,11:27,11:33,02:17,221
3,郴州,13:07,13:11,03:51,374
4,衡阳,14:50,14:55,05:30,521
5,株洲,16:20,16:40,06:55,655
6,萍乡,17:27,17:31,07:42,736
7,新余,18:39,18:44,08:50,861
8,鹰潭,20:48,21:08,10:54,1044
9,景德镇,23:16,23:23,13:02,1265
10,黄山,02:26,02:30,16:05,1432
11,绩溪县,03:19,03:26,16:54,1482
12,宣城,05:31,05:36,18:59,1614
13,芜湖,06:31,06:39,19:54,1678
14,马鞍山,07:28,07:38,20:43,1725
15,南京,08:55,09:08,22:00,1803
16,扬州,10:17,10:20,23:09,1904
17,泰州,10:56,10:56,23:45,1968
