Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,东莞东,11:41,11:41,00:00,-
2,惠州,12:21,12:27,00:40,54
3,河源,13:15,13:25,01:28,134
4,龙川,14:17,14:23,02:20,209
5,赣州,16:53,16:57,04:50,450
6,吉安,18:46,18:50,06:39,636
7,南昌,21:00,21:26,08:49,862
8,武昌,00:57,01:09,12:20,1217
9,襄州,04:15,04:35,15:26,-
10,十堰,06:31,06:42,17:22,1717
11,安康,08:55,09:01,19:35,1919
12,万源,10:52,10:54,21:26,2070
13,达州,12:46,12:59,23:18,2195
14,营山,14:04,14:07,24:23,2296
15,蓬安,14:19,14:22,24:35,2313
16,南充,14:49,14:57,25:02,2354
17,成都,17:23,17:23,27:28,2569
