Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,北京,----,12:37,00:00,-
2,保定,14:07,14:10,01:30,99
3,石家庄,15:29,15:37,02:49,234
4,邢台,16:32,16:36,03:44,395
5,邯郸,17:11,17:17,04:19,451
6,鹤壁,18:36,18:39,05:38,548
7,郑州,20:00,20:10,06:59,694
8,许昌,20:56,20:59,07:45,780
9,漯河,21:39,21:50,08:25,834
10,信阳,23:17,23:20,09:52,996
11,武昌,01:44,01:53,12:16,1093
12,岳阳,03:56,03:59,14:19,1308
13,长沙,05:21,05:41,15:41,1455
14,株洲,06:17,06:23,16:17,1507
15,醴陵,06:50,06:53,16:44,1549
16,萍乡,07:16,07:22,17:07,1588
17,宜春,08:04,08:07,17:49,1659
18,新余,08:39,08:43,18:21,1713
19,樟树,09:30,09:33,19:08,1789
20,丰城,09:50,09:53,19:25,1813
21,南昌,10:34,10:34,20:06,1874
