Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,西宁,----,08:10,00:00,-
2,平安驿,08:40,08:44,00:30,31
3,乐都,09:03,09:07,00:49,61
4,海石湾,09:35,09:39,01:17,110
5,兰州,11:20,11:37,02:58,120
6,定西,12:53,12:55,04:14,334
7,陇西,13:47,13:49,05:06,418
8,天水,15:41,15:51,06:58,564
9,宝鸡,18:24,18:43,09:31,719
10,西安,20:22,20:34,11:10,892
11,商洛,22:42,22:45,13:18,1072
12,丹凤,23:16,23:22,13:49,1111
13,信阳,05:27,05:37,19:54,1547
14,罗山,06:09,06:12,20:26,1593
15,息县,06:33,06:36,20:47,1620
16,潢川,07:05,07:10,21:16,1651
17,商城,07:36,07:39,21:42,1692
18,固始,07:57,08:00,22:00,1714
19,六安,08:57,09:01,22:57,-
20,合肥,10:01,10:01,23:57,1891
