Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,昆明,----,21:14,00:00,-
2,师宗,23:45,23:47,02:31,189
3,罗平,00:23,00:27,03:07,235
4,威舍,01:40,01:50,04:20,308
5,兴义,02:25,02:29,04:55,344
6,百色,06:21,06:27,08:47,433
7,平果,07:35,07:40,09:55,574
8,南宁,09:02,09:22,11:17,423
9,柳州,12:22,12:30,14:17,839
10,桂林北,14:47,15:07,16:34,1003
11,兴安北,15:40,15:44,17:07,1060
12,全州南,16:37,16:42,18:00,1112
13,东安东,17:16,17:21,18:34,1173
14,永州,17:40,17:50,18:53,1202
15,祁阳,18:10,18:19,19:13,1235
16,祁东,18:36,18:48,19:30,1264
17,衡阳,19:38,19:51,20:20,1338
18,安仁,21:18,21:21,21:47,1410
19,茶陵南,21:59,22:03,22:25,1445
20,炎陵,22:40,22:49,23:02,1489
21,金华,07:28,07:34,31:41,2276
22,义乌,08:06,08:09,32:13,2324
23,杭州东,09:19,09:25,33:23,2488
24,海宁,10:00,10:03,33:58,2547
25,嘉兴,10:27,10:30,34:22,2575
26,上海南,11:34,11:34,35:26,2655
