Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,东莞西,----,10:00,00:00,-
2,道滘,10:04,10:06,00:04,-
3,西平西,10:12,10:13,00:10,-
4,东城南,10:16,10:18,00:13,-
5,寮步,10:23,10:25,00:18,-
6,松山湖北,10:29,10:31,00:22,-
7,大朗镇,10:35,10:36,00:26,-
8,常平南,10:41,10:42,00:31,-
9,常平东,10:46,10:48,00:35,-
10,樟木头东,10:53,10:54,00:40,-
11,银瓶,10:57,10:59,00:43,-
12,沥林北,11:04,11:06,00:48,-
13,仲恺,11:12,11:14,00:54,-
14,惠环,11:18,11:19,00:58,-
15,龙丰,11:23,11:25,01:02,-
16,西湖东,11:28,11:29,01:05,-
17,云山,11:33,11:34,01:09,-
18,小金口,11:41,11:41,01:16,-
