Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海,----,15:33,00:00,-
2,苏州,16:31,16:35,00:58,91
3,无锡,17:00,17:03,01:23,133
4,常州,17:26,17:30,01:46,172
5,南京,18:47,18:55,03:03,308
6,蚌埠,20:42,20:47,04:50,485
7,徐州,22:18,22:24,06:21,649
8,商丘,23:54,23:57,07:51,795
9,郑州,01:49,02:10,09:43,998
10,洛阳,03:34,03:37,11:07,1122
11,西安,08:12,08:24,15:42,1509
12,杨陵,09:11,09:15,16:29,1594
13,宝鸡,10:12,10:20,17:26,1649
14,天水,11:54,12:02,19:00,1804
15,甘谷,12:44,12:49,19:42,1904
16,陇西,13:33,13:39,20:26,1950
17,定西,14:33,14:37,21:20,2067
18,兰州,16:05,16:05,22:48,2152
