Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,----,09:15,00:00,-
2,吐鲁番北,11:30,11:32,02:15,163
3,哈密,15:15,15:27,05:58,535
4,柳园,18:10,18:20,08:41,882
5,嘉峪关,21:11,21:19,11:32,1179
6,张掖,23:26,23:32,13:39,1402
7,金昌,01:09,01:15,15:16,1572
8,武威,02:00,02:06,16:01,1646
9,中卫,05:32,05:47,19:27,1898
10,青铜峡,07:01,07:03,20:41,1994
11,银川,08:19,08:27,21:57,2060
12,石嘴山,09:03,09:05,22:33,2115
13,惠农,09:43,09:49,23:11,2162
14,乌海,10:26,10:30,23:48,2210
15,临河,12:02,12:08,25:20,2353
16,包头,14:18,14:38,27:30,2571
17,呼和浩特东,16:32,16:51,29:24,2744
18,集宁南,18:15,18:32,30:48,2903
19,商都,19:39,19:41,31:55,2987
20,化德,20:23,20:25,32:37,3049
21,正镶白旗,21:39,21:45,33:51,3158
22,桑根达来,22:56,23:05,35:02,3253
23,大板,04:15,04:35,40:12,3542
24,林东,06:04,06:06,41:41,3634
25,查布嘎,06:54,06:56,42:29,3696
26,开鲁,08:20,08:22,43:53,3807
27,通辽,09:30,09:55,45:01,3900
28,甘旗卡,10:45,10:49,45:51,3976
29,彰武,11:37,11:40,46:39,4042
30,沈阳北,13:55,14:18,48:54,4207
31,铁岭,14:53,14:55,49:29,4274
32,开原,15:15,15:17,49:49,4094
33,昌图,15:36,15:38,50:08,4339
34,四平,16:14,16:19,50:44,4392
35,公主岭,16:53,16:55,51:18,4436
36,长春,17:39,17:39,52:02,4507
