Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,三亚,----,08:20,00:00,-
2,凤凰机场,08:29,08:30,00:09,1515
3,崖州,08:43,08:44,00:22,324
4,乐东,08:56,08:57,00:34,329
5,黄流,09:06,09:07,00:43,334
6,尖峰,09:15,09:16,00:51,1837
7,金月湾,09:26,09:27,01:01,1495
8,东方,09:41,09:43,01:15,344
9,棋子湾,09:57,09:58,01:29,1822
10,白马井,10:20,10:21,01:51,1817
11,临高南,10:43,10:44,02:13,364
12,海口东,11:19,11:24,02:48,688
13,美兰,11:34,11:36,02:58,702
14,琼海,12:05,12:06,03:27,803
15,万宁,12:24,12:25,03:45,857
16,神州,12:32,12:33,03:52,988
17,陵水,12:46,12:47,04:05,906
18,三 亚,13:10,13:10,04:28,1174
