Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,三亚,----,17:38,00:00,-
2,亚龙湾,17:46,17:47,00:08,12
3,陵水,18:04,18:05,00:25,906
4,万宁,18:22,18:23,00:42,857
5,琼海,18:40,18:41,00:59,803
6,文昌,18:58,18:59,01:16,753
7,美兰,19:16,19:18,01:33,702
8,海口东,19:28,19:33,01:43,688
9,老城镇,19:55,19:56,02:05,1465
10,福山镇,20:07,20:08,02:16,369
11,临高南,20:17,20:19,02:25,364
12,银滩,20:32,20:33,02:38,359
13,白马井,20:46,20:47,02:51,1817
14,棋子湾,21:09,21:10,03:13,1822
15,东方,21:24,21:26,03:27,344
16,黄流,21:50,21:51,03:51,334
17,乐东,22:00,22:01,04:00,329
18,崖州,22:13,22:15,04:12,324
19,凤凰机场,22:28,22:29,04:25,1515
20,三 亚,22:40,22:40,04:36,1174
