Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,东莞西,----,06:50,00:00,-
2,道滘,06:53,06:55,00:03,-
3,西平西,07:01,07:02,00:09,-
4,东城南,07:05,07:07,00:12,-
5,寮步,07:12,07:14,00:17,-
6,松山湖北,07:18,07:20,00:21,-
7,大朗镇,07:24,07:25,00:25,-
8,常平南,07:30,07:31,00:30,-
9,常平东,07:35,07:37,00:34,-
10,樟木头东,07:42,07:43,00:39,-
11,银瓶,07:46,07:48,00:42,-
12,沥林北,07:53,07:55,00:47,-
13,仲恺,08:01,08:03,00:53,-
14,惠环,08:07,08:08,00:57,-
15,龙丰,08:12,08:14,01:01,-
16,西湖东,08:17,08:18,01:04,-
17,云山,08:22,08:23,01:08,-
18,小金口,08:30,08:30,01:15,-
