Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,乌鲁木齐,----,18:40,00:00,-
2,吐鲁番北,20:07,20:22,01:27,163
3,鄯善北,21:09,21:11,02:14,254
4,哈密,00:09,00:18,05:12,535
5,柳园,04:03,04:09,08:57,882
6,嘉峪关,07:29,07:37,12:17,1179
7,高台,08:58,09:03,13:38,1308
8,张掖,09:48,09:54,14:23,1402
9,金昌,11:31,11:35,16:00,1572
10,武威,12:20,12:26,16:45,1646
11,兰州,15:30,15:45,19:49,1754
12,定西,17:01,17:03,21:05,1872
13,陇西,17:55,18:00,21:57,1956
14,天水,19:56,20:10,23:53,2102
15,宝鸡,22:43,22:51,26:26,2257
16,西安,00:30,00:40,28:05,2430
17,三门峡,03:52,04:01,31:17,2695
18,洛阳,05:27,05:32,32:43,2817
19,巩义,06:07,06:10,33:18,3009
20,郑州,07:05,07:05,34:13,2941
