Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,小金口,----,13:54,00:00,-
2,云山,13:59,14:02,00:05,5
3,西湖东,14:05,14:07,00:08,10
4,龙丰,14:10,14:11,00:11,15
5,惠环,14:15,14:17,00:15,20
6,仲恺,14:21,14:22,00:19,25
7,沥林北,14:29,14:31,00:26,30
8,银瓶,14:36,14:37,00:31,35
9,樟木头东,14:41,14:42,00:35,40
10,常平东,14:47,14:49,00:40,45
11,常平南,14:53,14:54,00:44,57
12,大朗镇,14:58,15:00,00:48,63
13,松山湖北,15:04,15:05,00:52,69
14,寮步,15:10,15:11,00:57,75
15,东城南,15:17,15:18,01:03,84
16,西平西,15:21,15:23,01:06,87
17,道滘,15:29,15:31,01:12,97
18,东莞西,15:35,15:35,01:16,-
