Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,三亚,----,09:56,00:00,-
2,凤凰机场,10:05,10:06,00:09,1515
3,崖州,10:19,10:20,00:22,324
4,乐东,10:32,10:33,00:34,329
5,黄流,10:42,10:43,00:43,334
6,金月湾,10:57,10:58,00:57,1495
7,东方,11:13,11:15,01:12,344
8,棋子湾,11:28,11:29,01:25,1822
9,白马井,11:51,11:52,01:47,1817
10,银滩,12:05,12:06,02:00,359
11,临高南,12:19,12:20,02:13,364
12,福山镇,12:30,12:31,02:23,369
13,老城镇,12:41,12:43,02:33,1465
14,海口东,13:08,13:12,02:58,688
15,美兰,13:21,13:23,03:07,702
16,琼海,13:52,13:53,03:36,803
17,万宁,14:11,14:12,03:54,857
18,陵水,14:28,14:29,04:10,906
19,三 亚,14:53,14:53,04:34,1174
