Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,大连,11:41,11:41,00:00,-
2,金州,12:06,12:09,00:25,33
3,普兰店,12:38,12:40,00:54,78
4,瓦房店,12:59,13:02,01:13,105
5,熊岳城,13:51,13:54,02:02,179
6,盖州,14:15,14:17,02:23,210
7,大石桥,14:43,14:47,02:49,240
8,盘锦,15:44,15:47,03:46,312
9,锦州,16:54,17:00,04:53,630
10,葫芦岛,17:31,17:34,05:24,680
11,兴城,17:49,17:52,05:39,515
12,绥中,18:20,18:23,06:07,749
13,山海关,19:09,19:15,06:53,814
14,北戴河,19:47,19:49,07:25,666
15,唐山,21:13,21:19,08:49,806
16,天津,22:45,22:51,10:15,890
17,德州,01:03,01:05,12:27,1152
18,济南,02:22,02:36,13:44,1237
19,徐州,06:04,06:14,17:12,1556
20,南京,09:20,09:28,20:18,1904
21,常州,10:48,10:52,21:38,-
22,无锡,11:15,11:19,22:01,-
23,苏州,11:45,11:48,22:27,2121
24,上海,12:42,12:42,23:21,2212
