Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州,----,17:42,00:00,-
2,郴州,21:24,21:27,03:42,374
3,衡阳,23:05,23:08,05:20,521
4,株洲,00:33,00:39,06:45,655
5,长沙,01:16,01:26,07:22,707
6,岳阳,02:45,02:54,08:41,854
7,武昌,05:10,05:22,10:57,1069
8,孝感,06:19,06:22,11:54,1159
9,信阳,07:53,07:56,13:25,1303
10,许昌,09:58,10:01,15:27,1519
11,郑州,10:54,11:31,16:20,1605
12,新乡,12:22,12:24,17:11,1685
13,鹤壁,12:59,13:01,17:46,1751
14,邯郸,13:56,14:02,18:41,1852
15,邢台,14:30,14:33,19:09,1904
16,石家庄,15:36,15:42,20:12,2013
17,定州,16:24,16:26,20:54,2088
18,保定,17:01,17:07,21:29,2148
19,白洋淀,17:33,17:35,21:55,2195
20,天津,19:25,19:35,23:45,2347
21,唐山,20:48,20:51,24:58,2544
22,秦皇岛,22:24,22:28,26:31,2167
23,山海关,22:53,23:03,26:56,2633
24,沈阳北,03:27,04:00,31:20,3021
25,四平,05:37,05:41,32:57,3206
26,长春,06:49,06:49,34:05,3321
