Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,哈尔滨,07:30,07:30,00:00,-
2,双城堡,08:04,08:07,00:34,51
3,扶余,08:37,08:39,01:04,101
4,长春,10:12,10:20,02:37,245
5,四平,11:25,11:28,03:42,360
6,铁岭,12:36,12:39,04:50,478
7,沈阳,13:31,13:43,05:42,548
8,锦州,16:05,16:13,08:04,781
9,山海关,18:04,18:10,09:55,933
10,北戴河,18:41,18:43,10:26,-
11,唐山,20:17,20:19,12:00,1111
12,天津,21:33,21:47,13:14,1225
13,衡水,00:48,00:52,16:15,-
14,聊城,02:17,02:24,17:40,-
15,菏泽,03:42,03:45,18:58,-
16,商丘南,04:45,04:48,19:58,-
17,阜阳,06:32,06:55,21:42,-
18,淮滨,07:35,07:38,22:22,-
19,潢川,08:07,08:10,22:51,-
20,光山,08:26,08:29,23:07,-
21,新县,08:53,08:56,23:31,-
22,麻城,09:32,09:39,24:07,-
23,汉口,10:53,10:53,25:21,-
