Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,青岛,----,16:58,00:00,-
2,高密,18:22,18:25,01:24,98
3,潍坊,19:04,19:07,02:03,183
4,淄博,19:55,19:58,02:51,283
5,济南,21:04,21:23,03:57,393
6,泰山,22:09,22:17,04:43,466
7,兖州,23:16,23:40,05:42,484
8,济宁,00:03,00:08,06:05,581
9,菏泽,01:19,01:30,07:16,688
10,商丘南,02:37,02:40,08:23,793
11,阜阳,04:13,04:28,09:56,961
12,潢川,05:34,05:37,11:02,1077
13,麻城,06:46,06:52,12:11,1197
14,黄州,07:25,07:28,12:44,1264
15,九江,09:02,09:06,14:18,1370
16,南昌,10:19,10:43,15:31,1505
17,吉安,12:57,13:01,17:45,1781
18,赣州,14:48,14:52,19:32,1967
19,龙川,17:28,17:31,22:08,2208
20,河源,18:21,18:24,22:58,2283
21,惠州,19:17,19:21,23:51,2363
22,东莞东,20:03,20:08,24:33,2417
23,深圳,20:45,20:45,25:10,2478
