Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,小金口,----,17:55,00:00,-
2,云山,18:00,18:02,00:05,5
3,西湖东,18:05,18:07,00:08,10
4,龙丰,18:10,18:12,00:11,15
5,惠环,18:16,18:17,00:15,20
6,仲恺,18:21,18:23,00:19,25
7,沥林北,18:30,18:31,00:26,30
8,银瓶,18:36,18:38,00:31,35
9,樟木头东,18:41,18:43,00:34,40
10,常平东,18:48,18:49,00:39,45
11,常平南,18:53,18:55,00:43,57
12,大朗镇,18:59,19:00,00:47,63
13,松山湖北,19:04,19:06,00:51,69
14,寮步,19:10,19:12,00:55,75
15,东城南,19:17,19:19,01:00,84
16,西平西,19:22,19:23,01:03,87
17,道滘,19:30,19:31,01:10,97
18,东莞西,19:35,19:35,01:14,-
