Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海,----,14:13,00:00,-
2,苏州,15:02,15:06,00:49,91
3,无锡,15:33,15:37,01:16,133
4,常州,16:00,16:04,01:39,172
5,镇江,16:47,16:51,02:22,244
6,南京,17:37,17:45,03:08,308
7,蚌埠,19:27,19:31,04:50,485
8,徐州,21:20,21:30,06:39,649
9,邹城,22:55,22:58,08:04,791
10,济南,00:51,01:06,09:57,968
11,沧州,03:15,03:17,12:06,1199
12,天津,05:04,05:10,13:53,1325
13,唐山,06:23,06:25,15:06,1439
14,秦皇岛,07:55,07:59,16:36,1587
15,山海关,08:23,08:29,17:00,1603
16,锦州,10:21,10:25,18:52,1787
17,盘锦,11:22,11:25,19:49,1882
18,大石桥,12:31,12:33,20:55,1991
19,盖州,12:51,12:53,21:13,2021
20,熊岳城,13:11,13:13,21:31,2052
21,瓦房店,13:59,14:02,22:17,2126
22,大连,15:14,15:14,23:29,2231
