Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,合肥,----,17:26,00:00,-
2,蚌埠,19:19,19:25,01:53,131
3,宿州,20:13,20:16,02:41,221
4,徐州,21:02,21:23,03:27,295
5,兖州,22:57,23:01,05:01,498
6,天津,03:51,03:57,09:51,1011
7,唐山,05:10,05:13,11:04,1125
8,北戴河,06:32,06:35,12:23,1251
9,山海关,07:18,07:24,13:06,1289
10,锦州南,08:52,09:02,14:34,1454
11,沈阳北,10:56,11:02,16:28,1677
12,四平,12:38,12:40,18:04,1862
13,长春,13:44,13:52,19:08,1977
14,哈尔滨,16:05,16:20,21:21,2223
15,对青山,16:41,16:43,21:42,-
16,肇东,17:03,17:05,22:02,2233
17,宋,17:23,17:25,22:20,-
18,安达,17:45,17:47,22:40,2297
19,大庆西,18:13,18:20,23:06,2318
20,齐齐哈尔,19:31,19:31,24:17,2374
