Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,西安,----,23:10,00:00,-
2,咸阳,23:27,23:30,00:17,23
3,宝鸡,00:56,01:04,01:43,140
4,天水,02:37,02:45,03:16,295
5,甘谷,03:27,03:32,03:58,395
6,陇西,04:16,04:21,04:42,441
7,定西,05:15,05:18,05:36,525
8,兰州,06:59,07:16,07:17,643
9,兰州西,07:28,07:30,07:29,648
10,武威,10:23,10:29,10:22,852
11,金昌,11:06,11:12,10:59,926
12,张掖,12:53,12:59,12:40,1096
13,酒泉,14:49,14:51,14:30,1297
14,嘉峪关,15:10,15:18,14:49,1446
15,柳园,17:58,18:12,17:29,1616
16,哈密,20:58,21:18,20:15,1937
17,鄯善,23:31,23:37,22:28,2200
18,吐鲁番,00:54,01:00,23:45,2348
19,焉耆,03:14,03:16,25:59,2700
20,库尔勒,03:47,04:02,26:30,2809
21,库车,07:21,07:27,29:49,3091
22,阿克苏,10:13,10:21,32:35,3333
23,喀什,16:12,16:12,38:26,3796
