Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,东莞西,----,18:15,00:00,-
2,道滘,18:18,18:20,00:03,-
3,西平西,18:26,18:27,00:09,-
4,东城南,18:30,18:32,00:12,-
5,寮步,18:37,18:39,00:17,-
6,松山湖北,18:43,18:45,00:21,-
7,大朗镇,18:49,18:50,00:25,-
8,常平南,18:55,18:56,00:30,-
9,常平东,19:00,19:02,00:34,-
10,樟木头东,19:07,19:08,00:39,-
11,银瓶,19:11,19:13,00:42,-
12,沥林北,19:18,19:20,00:47,-
13,仲恺,19:26,19:28,00:53,-
14,惠环,19:32,19:33,00:57,-
15,龙丰,19:37,19:39,01:01,-
16,西湖东,19:42,19:44,01:04,-
17,云山,19:47,19:49,01:07,-
18,小金口,19:55,19:55,01:13,-
