Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,东莞西,----,15:15,00:00,-
2,道滘,15:18,15:20,00:03,-
3,西平西,15:26,15:27,00:09,-
4,东城南,15:30,15:32,00:12,-
5,寮步,15:37,15:39,00:17,-
6,松山湖北,15:43,15:45,00:21,-
7,大朗镇,15:49,15:50,00:25,-
8,常平南,15:55,15:56,00:30,-
9,常平东,16:00,16:02,00:34,-
10,樟木头东,16:07,16:08,00:39,-
11,银瓶,16:11,16:13,00:42,-
12,沥林北,16:18,16:20,00:47,-
13,仲恺,16:26,16:28,00:53,-
14,惠环,16:32,16:33,00:57,-
15,龙丰,16:37,16:39,01:01,-
16,西湖东,16:42,16:43,01:04,-
17,云山,16:47,16:48,01:08,-
18,小金口,16:55,16:55,01:15,-
