Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,三亚,----,15:30,00:00,-
2,陵水,15:51,15:52,00:21,906
3,万宁,16:09,16:10,00:38,857
4,琼海,16:27,16:28,00:55,803
5,文昌,16:45,16:46,01:12,753
6,美兰,17:03,17:06,01:29,702
7,海口东,17:15,17:18,01:38,688
8,福山镇,17:48,17:49,02:08,369
9,临高南,17:58,18:00,02:17,364
10,银滩,18:13,18:15,02:30,359
11,白马井,18:28,18:29,02:43,1817
12,棋子湾,18:51,18:52,03:05,1822
13,东方,19:05,19:07,03:18,344
14,金月湾,19:22,19:23,03:33,1495
15,尖峰,19:33,19:34,03:43,1837
16,黄流,19:42,19:43,03:51,334
17,乐东,19:52,19:53,04:00,329
18,崖州,20:05,20:06,04:12,324
19,凤凰机场,20:19,20:21,04:25,1515
20,三 亚,20:31,20:31,04:35,1174
