Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,广州,----,19:36,00:00,-
2,韶关东,21:48,21:51,02:12,221
3,郴州,23:25,23:34,03:46,374
4,衡阳,01:12,01:16,05:24,521
5,长沙,03:14,03:20,07:22,707
6,武昌,06:42,07:01,10:44,1069
7,信阳,09:24,09:27,13:07,1303
8,郑州,12:13,12:21,15:53,1605
9,安阳,14:06,14:08,17:38,1792
10,邯郸,14:41,14:47,18:11,1852
11,邢台,15:15,15:19,18:39,1904
12,石家庄,16:22,16:28,19:42,2013
13,定州,17:15,17:18,20:29,2088
14,保定,17:53,18:03,21:04,2148
15,徐水,18:20,18:36,21:21,2172
16,白洋淀,18:52,18:54,21:37,2195
17,白沟,19:06,19:17,21:49,2214
18,霸州,19:37,19:44,22:09,2245
19,天津,22:00,22:00,24:25,2347
