Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,上海南,----,16:06,00:00,-
2,嘉兴,16:49,16:52,00:43,80
3,海宁,17:11,17:14,01:02,108
4,杭州东,18:01,18:07,01:49,167
5,诸暨,18:51,18:54,02:33,260
6,义乌,19:18,19:21,02:57,312
7,金华,19:57,20:03,03:33,360
8,衢州,20:53,20:56,04:23,446
9,上饶,22:05,22:09,05:32,481
10,鹰潭,23:11,23:36,06:34,597
11,株洲,03:58,04:27,10:56,1049
12,衡阳,05:50,06:03,12:19,1183
13,永州,07:40,08:01,13:56,1329
14,道州,09:15,09:21,15:10,1431
15,江永,09:39,09:44,15:28,1453
16,江华,10:01,10:06,15:45,1475
17,贺州,11:04,11:12,16:43,1571
18,梧州,12:33,12:38,18:04,1706
19,岑溪,13:30,13:35,18:56,1786
20,容县,14:04,14:08,19:25,1833
21,玉林,14:41,15:03,19:58,1885
22,贵港,16:04,16:09,20:59,1974
23,黎塘,16:58,17:03,21:48,2028
24,南宁,18:42,18:42,23:27,2044
